iter	MultiClass
0	1.566080733
1	1.513404511
2	1.471743532
3	1.440176916
4	1.404564199
5	1.377151307
6	1.342629832
7	1.319183391
8	1.289163485
9	1.270459825
10	1.249177458
11	1.225546406
12	1.206377056
13	1.191465402
14	1.174781385
15	1.154205217
16	1.13238243
17	1.115545703
18	1.097497307
19	1.082186302
20	1.067887745
21	1.051603155
22	1.03838364
23	1.0241101
24	1.008264034
25	0.9947301144
26	0.9786029564
27	0.9611999675
28	0.950157638
29	0.9339830282
30	0.9265247536
31	0.9130112185
32	0.9037419738
33	0.8923677771
34	0.8857359865
35	0.8742843022
36	0.8597409949
37	0.8486118375
38	0.8376414536
39	0.827235295
40	0.8221255079
41	0.8111246519
42	0.8039773496
43	0.7955041259
44	0.7847584995
45	0.7749878237
46	0.7657202305
47	0.7592475483
48	0.7508540703
49	0.7420677712
50	0.7332708845
51	0.7253974151
52	0.7163255321
53	0.7089326471
54	0.7040903633
55	0.6977381171
56	0.6888358044
57	0.6786455125
58	0.6713187882
59	0.6636426305
60	0.6580238085
61	0.6512949826
62	0.6438456648
63	0.6397630775
64	0.6331595718
65	0.6259770971
66	0.6184949316
67	0.6134976639
68	0.6042294102
69	0.5995211295
70	0.5919535718
71	0.5859189252
72	0.5765469936
73	0.567834668
74	0.5609251102
75	0.5543201877
76	0.5500371983
77	0.5443599812
78	0.5379990778
79	0.5334201453
80	0.5275625406
81	0.5207174472
82	0.516443595
83	0.5094514742
84	0.5028206264
85	0.4965217156
86	0.4903750798
87	0.4839364529
88	0.4765421692
89	0.4693453779
90	0.4639949317
91	0.4579387685
92	0.449167516
93	0.4435514049
94	0.4376551206
95	0.4311322126
96	0.4238791299
97	0.4189405652
98	0.4123863485
99	0.4052177333
100	0.3998141993
101	0.3947592922
102	0.3900278088
103	0.3847026927
104	0.379634102
105	0.374763044
106	0.3703162806
107	0.3645609636
108	0.3575983464
109	0.3517984733
110	0.3479641499
111	0.343137216
112	0.3386586413
113	0.3339433863
114	0.3290975957
115	0.3244653412
116	0.3207589992
117	0.3165947302
118	0.313558997
119	0.3103060715
120	0.306626292
121	0.3042409592
122	0.3013519493
123	0.2978195629
124	0.2934959202
125	0.2890771952
126	0.2864046122
